,t,x,v,a,u,x_up,x_down
7036,7.03685899157612,199.4375,28999.998046875,30999996.0,-3.6125235557556152,229.9686547256097,7.009647966867479
7037,7.037859113661336,185.4375,-13999.9990234375,-42999996.0,-3.6125235557556152,230.07841082317074,6.985551581325296
7038,7.038859235746552,187.4375,1999.9998779296875,15999998.0,-3.6125235557556152,230.18816692073167,6.961455195783135
7039,7.039859357831768,200.4375,12999.9990234375,10999999.0,-3.6125235557556152,230.2979230182927,6.937358810240953
7040,7.040859479916983,194.4375,-5999.99951171875,-18999998.0,-6.140591621398926,230.40767911585365,6.913262424698792
7041,7.041859602002198,195.4375,999.9999389648438,6999999.0,-6.140591621398926,230.5174352134146,6.889166039156631
7042,7.042859724087414,191.4375,-3999.999755859375,-4999999.5,-6.140591621398926,230.62719131097563,6.865069653614449
7043,7.043859846172629,180.4375,-10999.9990234375,-6999999.0,-6.140591621398926,230.73694740853657,6.840973268072288
7044,7.044859968257844,198.4375,18000.0,28999996.0,-6.140591621398926,230.8467035060975,6.816876882530127
7045,7.04586009034306,199.4375,999.9999389648438,-16999998.0,-6.140591621398926,230.95645960365854,6.792780496987945
7046,7.0468602124282755,194.4375,-5000.0,-5999999.5,-6.140591621398926,231.06621570121948,6.768684111445784
7047,7.047860334513491,182.4375,-11999.9990234375,-6999999.0,-6.140591621398926,231.1759717987804,6.744587725903623
7048,7.048860456598707,191.4375,9000.0,20999998.0,-6.140591621398926,231.28572789634146,6.72049134036144
7049,7.049860578683922,191.4375,0.0,-8999999.0,-6.140591621398926,231.3954839939024,6.696394954819279
7050,7.050860700769137,186.4375,-5000.0,-4999999.5,-6.140591621398926,231.50524009146335,6.672298569277118
7051,7.051860822854353,180.4375,-5999.99951171875,-999999.875,-6.140591621398926,231.61499618902437,6.648202183734936
7052,7.052860944939568,166.4375,-13999.9990234375,-7999999.0,-6.140591621398926,231.72475228658533,6.624105798192775
7053,7.053861067024784,158.4375,-7999.99951171875,5999999.5,-6.140591621398926,231.83450838414635,6.600009412650593
7054,7.0548611891099995,158.4375,0.0,7999999.0,-6.140591621398926,231.9442644817073,6.575913027108432
7055,7.055861311195215,158.4375,0.0,0.0,-6.140591621398926,232.05402057926824,6.551816641566271
